X,Y,GBR_NAME,FEAT_NAME,LEVEL_1,QLD_NAME,GBR_ID,LOC_NAME_L,longitude,latitude,SHAPE_AREA,UNIQUE_ID
143.078149508153,-9.27071524907183,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,143.078149508152990,-9.270715249071831,0.786168539764240,09347110101
143.042892326824,-9.29329002255295,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,143.042892326824187,-9.293290022552950,2.953361866803351,09347110100
143.102017913558,-9.38847963891844,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,143.102017913557546,-9.388479638918440,0.173143451299567,09355110126
143.097261194734,-9.38856217288231,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,143.097261194734443,-9.388562172882313,0.057538260140868,09355110127
143.094019841342,-9.3902583373136,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,143.094019841342288,-9.390258337313602,0.032543159654469,09355110128
143.120929148505,-9.38665268757066,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,143.120929148505382,-9.386652687570663,3.573758383971823,09355110122
143.083668360372,-9.39385475411323,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,143.083668360371973,-9.393854754113221,0.881885141760833,09355110124
143.163647615063,-9.40508309777637,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,143.163647615062757,-9.405083097776371,0.321713897560286,09355110125
143.050613745228,-9.4043445772499,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,143.050613745227594,-9.404344577249903,1.529792908331861,09355110123
142.92524712749,-9.75655069980827,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.925247127490081,-9.756550699808272,1.659309286473418,09373110100
142.906335469344,-9.81312216578457,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.906335469343617,-9.813122165784568,0.072725771087610,09371110101
142.896951309635,-9.95937179900981,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.896951309635398,-9.959371799009805,2.427710116442875,09376110102
143.041187650681,-9.99513622309699,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,143.041187650680911,-9.995136223096985,0.673956467325483,10551110104
143.023374187147,-10.004291843269,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,143.023374187147255,-10.004291843269026,1.139375745228525,10551110103
142.831153464993,-10.0108636192067,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.831153464993065,-10.010863619206727,0.437117264870672,10545110132
142.977120013395,-10.0621150788856,Walker Shoal,Bank,Bank,Walker Shoal,,,142.977120013395080,-10.062115078885595,1.051688513081865,10550110100
142.839777189179,-10.0967060225483,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.839777189179387,-10.096706022548254,1.891028438391654,10543110109
142.671348683139,-10.1637111252392,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.671348683139144,-10.163711125239246,0.005346145772034,10456110104
142.666684331907,-10.1642947387822,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.666684331907192,-10.164294738782148,0.071238171616759,10456110103
142.842796943197,-10.1962854590677,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.842796943196504,-10.196285459067674,1.086623923409269,10541110103
142.807947259559,-10.2023681719921,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.807947259559313,-10.202368171992060,0.944333458481610,10541110104
142.805927024145,-10.2164720030762,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.805927024145404,-10.216472003076257,1.837757487234685,10541110102
142.676105194796,-10.2292682220355,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.676105194795753,-10.229268222035472,0.061099356865893,10457110102
142.871408039306,-10.2219016980402,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.871408039306232,-10.221901698040201,0.838826859569798,10541110105
142.815804718668,-10.2524338330679,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.815804718668005,-10.252433833067947,0.309120679361984,10542110103
142.829894752731,-10.2695695704462,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.829894752730695,-10.269569570446160,1.161379423768148,10542110102
142.680765792145,-10.2904350441134,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.680765792145252,-10.290435044113373,0.084110869577635,10460110103
142.686021746738,-10.2940985481633,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.686021746738049,-10.294098548163339,0.122064070671627,10460110102
142.682398533978,-10.3083700418668,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.682398533978244,-10.308370041866786,0.085315773692416,10459110103
142.679956706325,-10.3107805547084,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.679956706324674,-10.310780554708408,0.058720162599422,10459110104
142.823915433624,-10.3318467507226,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.823915433623711,-10.331846750722640,0.132241834905492,10544110102
142.612145076397,-10.6148416575926,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.612145076396672,-10.614841657592565,0.142369774885279,10497110104
142.629151529789,-10.6135916866556,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.629151529788885,-10.613591686655566,1.485008772363738,10500110102
142.832397490051,-10.6102351203067,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.832397490051306,-10.610235120306701,1.191155993527948,10538110100
142.630441507589,-10.636875305909,U/N Sand Bank,Bank,Bank,U/N Sand Bank,,,142.630441507588984,-10.636875305909001,1.796569584086259,10303110105
