SITE_ID,SITE,yDay,TEMP,TEMP.es
904,Hay Point,1,28.567537307739258,0.03981392830610275
904,Hay Point,2,28.587535858154297,0.03981392830610275
904,Hay Point,3,28.617536544799805,0.049813926219940186
904,Hay Point,4,28.637537002563477,0.049813926219940186
904,Hay Point,5,28.66753578186035,0.049813926219940186
904,Hay Point,6,28.687536239624023,0.049813926219940186
904,Hay Point,7,28.707536697387695,0.049813926219940186
904,Hay Point,8,28.727537155151367,0.049813926219940186
904,Hay Point,9,28.747535705566406,0.049813926219940186
904,Hay Point,10,28.767536163330078,0.049813926219940186
904,Hay Point,11,28.78753662109375,0.049813926219940186
904,Hay Point,12,28.807537078857422,0.049813926219940186
904,Hay Point,13,28.82753562927246,0.049813926219940186
904,Hay Point,14,28.837535858154297,0.049813926219940186
904,Hay Point,15,28.85753631591797,0.049813926219940186
904,Hay Point,16,28.87753677368164,0.049813926219940186
904,Hay Point,17,28.887537002563477,0.049813926219940186
904,Hay Point,18,28.897537231445312,0.049813926219940186
904,Hay Point,19,28.91753578186035,0.049813926219940186
904,Hay Point,20,28.927536010742188,0.049813926219940186
904,Hay Point,21,28.937536239624023,0.049813926219940186
904,Hay Point,22,28.94753646850586,0.049813926219940186
904,Hay Point,23,28.957536697387695,0.049813926219940186
904,Hay Point,24,28.96753692626953,0.049813926219940186
904,Hay Point,25,28.977537155151367,0.049813926219940186
904,Hay Point,26,28.98753547668457,0.049813926219940186
904,Hay Point,27,28.98753547668457,0.049813926219940186
904,Hay Point,28,28.997535705566406,0.049813926219940186
904,Hay Point,29,29.007535934448242,0.049813926219940186
904,Hay Point,30,29.007535934448242,0.049813926219940186
904,Hay Point,31,29.007535934448242,0.03981392830610275
904,Hay Point,32,29.017536163330078,0.03981392830610275
904,Hay Point,33,29.017536163330078,0.03981392830610275
904,Hay Point,34,29.017536163330078,0.03981392830610275
904,Hay Point,35,29.017536163330078,0.03981392830610275
904,Hay Point,36,29.017536163330078,0.03981392830610275
904,Hay Point,37,29.017536163330078,0.03981392830610275
904,Hay Point,38,29.007535934448242,0.03981392830610275
904,Hay Point,39,29.007535934448242,0.03981392830610275
904,Hay Point,40,28.997535705566406,0.03981392830610275
904,Hay Point,41,28.997535705566406,0.03981392830610275
904,Hay Point,42,28.98753547668457,0.03981392830610275
904,Hay Point,43,28.98753547668457,0.03981392830610275
904,Hay Point,44,28.977537155151367,0.03981392830610275
904,Hay Point,45,28.96753692626953,0.03981392830610275
904,Hay Point,46,28.957536697387695,0.03981392830610275
904,Hay Point,47,28.94753646850586,0.03981392830610275
904,Hay Point,48,28.937536239624023,0.03981392830610275
904,Hay Point,49,28.927536010742188,0.03981392830610275
904,Hay Point,50,28.907535552978516,0.03981392830610275
904,Hay Point,51,28.897537231445312,0.03981392830610275
904,Hay Point,52,28.87753677368164,0.03981392830610275
904,Hay Point,53,28.867536544799805,0.03981392830610275
904,Hay Point,54,28.847536087036133,0.03981392830610275
904,Hay Point,55,28.82753562927246,0.03981392830610275
904,Hay Point,56,28.817535400390625,0.03981392830610275
904,Hay Point,57,28.797536849975586,0.03981392830610275
904,Hay Point,58,28.777536392211914,0.03981392830610275
904,Hay Point,59,28.757535934448242,0.03981392830610275
904,Hay Point,60,28.73753547668457,0.03981392830610275
904,Hay Point,61,28.71753692626953,0.03981392830610275
904,Hay Point,62,28.687536239624023,0.03981392830610275
904,Hay Point,63,28.66753578186035,0.03981392830610275
904,Hay Point,64,28.647537231445312,0.03981392830610275
904,Hay Point,65,28.617536544799805,0.03981392830610275
904,Hay Point,66,28.597536087036133,0.03981392830610275
904,Hay Point,67,28.567537307739258,0.03981392830610275
904,Hay Point,68,28.547536849975586,0.03981392830610275
904,Hay Point,69,28.517536163330078,0.03981392830610275
904,Hay Point,70,28.48753547668457,0.03981392830610275
904,Hay Point,71,28.457536697387695,0.03981392830610275
904,Hay Point,72,28.437536239624023,0.03981392830610275
904,Hay Point,73,28.407535552978516,0.03981392830610275
904,Hay Point,74,28.37753677368164,0.03981392830610275
904,Hay Point,75,28.347536087036133,0.03981392830610275
904,Hay Point,76,28.317537307739258,0.03981392830610275
904,Hay Point,77,28.28753662109375,0.03981392830610275
904,Hay Point,78,28.257535934448242,0.03981392830610275
904,Hay Point,79,28.21753692626953,0.03981392830610275
904,Hay Point,80,28.187536239624023,0.03981392830610275
904,Hay Point,81,28.157535552978516,0.03981392830610275
904,Hay Point,82,28.12753677368164,0.03981392830610275
904,Hay Point,83,28.097536087036133,0.03981392830610275
904,Hay Point,84,28.057537078857422,0.03981392830610275
904,Hay Point,85,28.027536392211914,0.03981392830610275
904,Hay Point,86,27.997535705566406,0.03981392830610275
904,Hay Point,87,27.957536697387695,0.03981392830610275
904,Hay Point,88,27.927536010742188,0.03981392830610275
904,Hay Point,89,27.897537231445312,0.03981392830610275
904,Hay Point,90,27.85753631591797,0.03981392830610275
904,Hay Point,91,27.82753562927246,0.03981392830610275
904,Hay Point,92,27.78753662109375,0.03981392830610275
904,Hay Point,93,27.757535934448242,0.03981392830610275
904,Hay Point,94,27.727537155151367,0.03981392830610275
904,Hay Point,95,27.687536239624023,0.03981392830610275
904,Hay Point,96,27.657535552978516,0.03981392830610275
904,Hay Point,97,27.617536544799805,0.03981392830610275
904,Hay Point,98,27.587535858154297,0.03981392830610275
904,Hay Point,99,27.547536849975586,0.03981392830610275
904,Hay Point,100,27.517536163330078,0.03981392830610275
904,Hay Point,101,27.477537155151367,0.03981392830610275
904,Hay Point,102,27.44753646850586,0.03981392830610275
904,Hay Point,103,27.407535552978516,0.03981392830610275
904,Hay Point,104,27.37753677368164,0.03981392830610275
904,Hay Point,105,27.337535858154297,0.03981392830610275
904,Hay Point,106,27.307537078857422,0.03981392830610275
904,Hay Point,107,27.267536163330078,0.03981392830610275
904,Hay Point,108,27.23753547668457,0.03981392830610275
904,Hay Point,109,27.207536697387695,0.03981392830610275
904,Hay Point,110,27.16753578186035,0.03981392830610275
904,Hay Point,111,27.137537002563477,0.03981392830610275
904,Hay Point,112,27.097536087036133,0.03981392830610275
904,Hay Point,113,27.067537307739258,0.03981392830610275
904,Hay Point,114,27.027536392211914,0.03981392830610275
904,Hay Point,115,26.997535705566406,0.03981392830610275
904,Hay Point,116,26.957536697387695,0.03981392830610275
904,Hay Point,117,26.927536010742188,0.03981392830610275
904,Hay Point,118,26.897537231445312,0.03981392830610275
904,Hay Point,119,26.85753631591797,0.03981392830610275
904,Hay Point,120,26.82753562927246,0.03981392830610275
904,Hay Point,121,26.78753662109375,0.03981392830610275
904,Hay Point,122,26.757535934448242,0.03981392830610275
904,Hay Point,123,26.727537155151367,0.03981392830610275
904,Hay Point,124,26.687536239624023,0.03981392830610275
904,Hay Point,125,26.657535552978516,0.03981392830610275
904,Hay Point,126,26.617536544799805,0.03981392830610275
904,Hay Point,127,26.587535858154297,0.03981392830610275
904,Hay Point,128,26.557537078857422,0.03981392830610275
904,Hay Point,129,26.517536163330078,0.03981392830610275
904,Hay Point,130,26.48753547668457,0.03981392830610275
904,Hay Point,131,26.44753646850586,0.03981392830610275
904,Hay Point,132,26.41753578186035,0.03981392830610275
904,Hay Point,133,26.387537002563477,0.03981392830610275
904,Hay Point,134,26.347536087036133,0.03981392830610275
904,Hay Point,135,26.317537307739258,0.03981392830610275
904,Hay Point,136,26.277536392211914,0.03981392830610275
904,Hay Point,137,26.247535705566406,0.03981392830610275
904,Hay Point,138,26.21753692626953,0.03981392830610275
904,Hay Point,139,26.177536010742188,0.03981392830610275
904,Hay Point,140,26.147537231445312,0.03981392830610275
904,Hay Point,141,26.10753631591797,0.03981392830610275
904,Hay Point,142,26.07753562927246,0.03981392830610275
904,Hay Point,143,26.03753662109375,0.03981392830610275
904,Hay Point,144,26.007535934448242,0.03981392830610275
904,Hay Point,145,25.977537155151367,0.03981392830610275
904,Hay Point,146,25.937536239624023,0.03981392830610275
904,Hay Point,147,25.907535552978516,0.03981392830610275
904,Hay Point,148,25.867536544799805,0.03981392830610275
904,Hay Point,149,25.837535858154297,0.03981392830610275
904,Hay Point,150,25.797536849975586,0.03981392830610275
904,Hay Point,151,25.767536163330078,0.03981392830610275
904,Hay Point,152,25.727537155151367,0.03981392830610275
904,Hay Point,153,25.69753646850586,0.03981392830610275
904,Hay Point,154,25.657535552978516,0.02981392666697502
904,Hay Point,155,25.62753677368164,0.02981392666697502
904,Hay Point,156,25.597536087036133,0.02981392666697502
904,Hay Point,157,25.557537078857422,0.02981392666697502
904,Hay Point,158,25.527536392211914,0.02981392666697502
904,Hay Point,159,25.48753547668457,0.02981392666697502
904,Hay Point,160,25.457536697387695,0.02981392666697502
904,Hay Point,161,25.41753578186035,0.02981392666697502
904,Hay Point,162,25.387537002563477,0.02981392666697502
904,Hay Point,163,25.35753631591797,0.01981392689049244
904,Hay Point,164,25.317537307739258,0.01981392689049244
904,Hay Point,165,25.28753662109375,0.01981392689049244
904,Hay Point,166,25.257535934448242,0.01981392689049244
904,Hay Point,167,25.21753692626953,0.01981392689049244
904,Hay Point,168,25.187536239624023,0.01981392689049244
904,Hay Point,169,25.157535552978516,0.01981392689049244
904,Hay Point,170,25.12753677368164,0.01981392689049244
904,Hay Point,171,25.087535858154297,0.01981392689049244
904,Hay Point,172,25.057537078857422,0.01981392689049244
904,Hay Point,173,25.027536392211914,0.02981392666697502
904,Hay Point,174,24.997535705566406,0.02981392666697502
904,Hay Point,175,24.96753692626953,0.02981392666697502
904,Hay Point,176,24.937536239624023,0.02981392666697502
904,Hay Point,177,24.907535552978516,0.02981392666697502
904,Hay Point,178,24.87753677368164,0.02981392666697502
904,Hay Point,179,24.847536087036133,0.03981392830610275
904,Hay Point,180,24.817537307739258,0.03981392830610275
904,Hay Point,181,24.78753662109375,0.03981392830610275
904,Hay Point,182,24.757535934448242,0.03981392830610275
904,Hay Point,183,24.737537384033203,0.03981392830610275
904,Hay Point,184,24.707536697387695,0.03981392830610275
904,Hay Point,185,24.677536010742188,0.03981392830610275
904,Hay Point,186,24.657535552978516,0.049813926219940186
904,Hay Point,187,24.62753677368164,0.049813926219940186
904,Hay Point,188,24.60753631591797,0.049813926219940186
904,Hay Point,189,24.57753562927246,0.049813926219940186
904,Hay Point,190,24.557537078857422,0.049813926219940186
904,Hay Point,191,24.53753662109375,0.049813926219940186
904,Hay Point,192,24.517536163330078,0.049813926219940186
