SITE_ID,SITE,yDay,TEMP,TEMP.es
747,John Brewer,1,28.567537307739258,0.03981392830610275
747,John Brewer,2,28.587535858154297,0.03981392830610275
747,John Brewer,3,28.617536544799805,0.049813926219940186
747,John Brewer,4,28.637537002563477,0.049813926219940186
747,John Brewer,5,28.66753578186035,0.049813926219940186
747,John Brewer,6,28.687536239624023,0.049813926219940186
747,John Brewer,7,28.707536697387695,0.049813926219940186
747,John Brewer,8,28.727537155151367,0.049813926219940186
747,John Brewer,9,28.747535705566406,0.049813926219940186
747,John Brewer,10,28.767536163330078,0.049813926219940186
747,John Brewer,11,28.78753662109375,0.049813926219940186
747,John Brewer,12,28.807537078857422,0.049813926219940186
747,John Brewer,13,28.82753562927246,0.049813926219940186
747,John Brewer,14,28.837535858154297,0.049813926219940186
747,John Brewer,15,28.85753631591797,0.049813926219940186
747,John Brewer,16,28.87753677368164,0.049813926219940186
747,John Brewer,17,28.887537002563477,0.049813926219940186
747,John Brewer,18,28.897537231445312,0.049813926219940186
747,John Brewer,19,28.91753578186035,0.049813926219940186
747,John Brewer,20,28.927536010742188,0.049813926219940186
747,John Brewer,21,28.937536239624023,0.049813926219940186
747,John Brewer,22,28.94753646850586,0.049813926219940186
747,John Brewer,23,28.957536697387695,0.049813926219940186
747,John Brewer,24,28.96753692626953,0.049813926219940186
747,John Brewer,25,28.977537155151367,0.049813926219940186
747,John Brewer,26,28.98753547668457,0.049813926219940186
747,John Brewer,27,28.98753547668457,0.049813926219940186
747,John Brewer,28,28.997535705566406,0.049813926219940186
747,John Brewer,29,29.007535934448242,0.049813926219940186
747,John Brewer,30,29.007535934448242,0.049813926219940186
747,John Brewer,31,29.007535934448242,0.03981392830610275
747,John Brewer,32,29.017536163330078,0.03981392830610275
747,John Brewer,33,29.017536163330078,0.03981392830610275
747,John Brewer,34,29.017536163330078,0.03981392830610275
747,John Brewer,35,29.017536163330078,0.03981392830610275
747,John Brewer,36,29.017536163330078,0.03981392830610275
747,John Brewer,37,29.017536163330078,0.03981392830610275
747,John Brewer,38,29.007535934448242,0.03981392830610275
747,John Brewer,39,29.007535934448242,0.03981392830610275
747,John Brewer,40,28.997535705566406,0.03981392830610275
747,John Brewer,41,28.997535705566406,0.03981392830610275
747,John Brewer,42,28.98753547668457,0.03981392830610275
747,John Brewer,43,28.98753547668457,0.03981392830610275
747,John Brewer,44,28.977537155151367,0.03981392830610275
747,John Brewer,45,28.96753692626953,0.03981392830610275
747,John Brewer,46,28.957536697387695,0.03981392830610275
747,John Brewer,47,28.94753646850586,0.03981392830610275
747,John Brewer,48,28.937536239624023,0.03981392830610275
747,John Brewer,49,28.927536010742188,0.03981392830610275
747,John Brewer,50,28.907535552978516,0.03981392830610275
747,John Brewer,51,28.897537231445312,0.03981392830610275
747,John Brewer,52,28.87753677368164,0.03981392830610275
747,John Brewer,53,28.867536544799805,0.03981392830610275
747,John Brewer,54,28.847536087036133,0.03981392830610275
747,John Brewer,55,28.82753562927246,0.03981392830610275
747,John Brewer,56,28.817535400390625,0.03981392830610275
747,John Brewer,57,28.797536849975586,0.03981392830610275
747,John Brewer,58,28.777536392211914,0.03981392830610275
747,John Brewer,59,28.757535934448242,0.03981392830610275
747,John Brewer,60,28.73753547668457,0.03981392830610275
747,John Brewer,61,28.71753692626953,0.03981392830610275
747,John Brewer,62,28.687536239624023,0.03981392830610275
747,John Brewer,63,28.66753578186035,0.03981392830610275
747,John Brewer,64,28.647537231445312,0.03981392830610275
747,John Brewer,65,28.617536544799805,0.03981392830610275
747,John Brewer,66,28.597536087036133,0.03981392830610275
747,John Brewer,67,28.567537307739258,0.03981392830610275
747,John Brewer,68,28.547536849975586,0.03981392830610275
747,John Brewer,69,28.517536163330078,0.03981392830610275
747,John Brewer,70,28.48753547668457,0.03981392830610275
747,John Brewer,71,28.457536697387695,0.03981392830610275
747,John Brewer,72,28.437536239624023,0.03981392830610275
747,John Brewer,73,28.407535552978516,0.03981392830610275
747,John Brewer,74,28.37753677368164,0.03981392830610275
747,John Brewer,75,28.347536087036133,0.03981392830610275
747,John Brewer,76,28.317537307739258,0.03981392830610275
747,John Brewer,77,28.28753662109375,0.03981392830610275
747,John Brewer,78,28.257535934448242,0.03981392830610275
747,John Brewer,79,28.21753692626953,0.03981392830610275
747,John Brewer,80,28.187536239624023,0.03981392830610275
747,John Brewer,81,28.157535552978516,0.03981392830610275
747,John Brewer,82,28.12753677368164,0.03981392830610275
747,John Brewer,83,28.097536087036133,0.03981392830610275
747,John Brewer,84,28.057537078857422,0.03981392830610275
747,John Brewer,85,28.027536392211914,0.03981392830610275
747,John Brewer,86,27.997535705566406,0.03981392830610275
747,John Brewer,87,27.957536697387695,0.03981392830610275
747,John Brewer,88,27.927536010742188,0.03981392830610275
747,John Brewer,89,27.897537231445312,0.03981392830610275
747,John Brewer,90,27.85753631591797,0.03981392830610275
747,John Brewer,91,27.82753562927246,0.03981392830610275
747,John Brewer,92,27.78753662109375,0.03981392830610275
747,John Brewer,93,27.757535934448242,0.03981392830610275
747,John Brewer,94,27.727537155151367,0.03981392830610275
747,John Brewer,95,27.687536239624023,0.03981392830610275
747,John Brewer,96,27.657535552978516,0.03981392830610275
747,John Brewer,97,27.617536544799805,0.03981392830610275
747,John Brewer,98,27.587535858154297,0.03981392830610275
747,John Brewer,99,27.547536849975586,0.03981392830610275
747,John Brewer,100,27.517536163330078,0.03981392830610275
747,John Brewer,101,27.477537155151367,0.03981392830610275
747,John Brewer,102,27.44753646850586,0.03981392830610275
