name,latitude,longitude
Pandora Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/9e5439aa-cc8f-4ff1-a048-80d6e4d338a5' target='blank'> Metadata Record </a>,-18.814331994,146.43223946
Snapper Island North</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/88083451-e313-4614-aa91-e557d2db8ecd' target='blank'> Metadata Record </a>,-16.2921415,145.4967
Chicken Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/f0436176-ee83-4f3a-babd-34eadd6d140d' target='blank'> Metadata Record </a>,-18.6537610833333,147.7218055
Shute and Tancred Islands</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/cea980c5-beff-440d-8dc0-5285ddafbc6c' target='blank'> Metadata Record </a>,-20.30085,148.798283
Northeast Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/59a7af2a-1e77-4326-8be9-9b194258d02e' target='blank'> Metadata Record </a>,-18.571758,146.494875
Lady Elliot Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/5d1e1b1b-c8c8-46cb-89a9-fda4e614719f' target='blank'> Metadata Record </a>,-18.680005,146.332755
Flinders Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/d05b5e41-4a9e-4d09-ac9a-4ec7433538ca' target='blank'> Metadata Record </a>,-17.7148235,148.4480485
Havannah Island</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/871c8762-45a6-41f6-9bd5-1c05b1fcfd89' target='blank'> Metadata Record </a>,-18.8420899966667,146.540965555556
Lizard Island</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/b8fc8578-fef9-43fa-9483-222ade016c2b' target='blank'> Metadata Record </a>,-14.6897583,145.45586745
Linnet Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/f33901b7-3dfe-4282-b174-9fbd3432f9cf' target='blank'> Metadata Record </a>,-14.78315768,145.351382
North Direction Island</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/3464bc27-82d1-4b5e-b429-df123d6cf50c' target='blank'> Metadata Record </a>,-14.7456460933333,145.514667166667
Thetford Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/2a75b6f9-823c-4a28-9def-52e639c1a27b' target='blank'> Metadata Record </a>,-16.799154965,146.1966133
Chinaman Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/12409e74-1c2e-42f0-80ec-656565bf005c' target='blank'> Metadata Record </a>,-21.997615,152.66631665
Snake Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/aac51665-5a9b-4e9b-a22e-0f1724f563ab' target='blank'> Metadata Record </a>,-22.0234415,152.1943085
Cherepo</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/aa2e5cda-fb1a-49ee-9b47-c7b3c348aeab' target='blank'> Metadata Record </a>,-10.68933,142.27991
19-131 Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/44b50aeb-2939-4cea-adaa-fa9fc69b5509' target='blank'> Metadata Record </a>,-19.765156995,149.379407
19-138 Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/8513f9f8-7635-48da-ab79-30e21a57d9ab' target='blank'> Metadata Record </a>,-19.8046433,149.4251933
19-159 Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/dd54e676-67cb-4ed3-9aaa-5af62c0fb0bb' target='blank'> Metadata Record </a>,-19.66449499,149.9149083
Hyde Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/365cb63e-0dd2-47df-89eb-5d1c333e496b' target='blank'> Metadata Record </a>,-19.74224,150.081595
20-104 Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/dcc15661-2578-435d-9bee-02164d2ab5d8' target='blank'> Metadata Record </a>,-20.02861002,149.69325
Langford Island</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/ba65af83-ad62-45cc-a6ce-b4e65350feef' target='blank'> Metadata Record </a>,-20.082817505,148.87930745
Rebe Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/7c9d2885-528b-49c6-ba3f-7b14d7c0c38b' target='blank'> Metadata Record </a>,-19.793445,150.155555
Border Island</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/c3a08a7e-c29d-4a38-9e61-c2cd1a996b49' target='blank'> Metadata Record </a>,-20.17643,149.03483
Small Lagoon Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/f47948e5-c197-49ce-9568-fb1865133684' target='blank'> Metadata Record </a>,-21.86735,152.52498
21-245 Reef</br>Type: TEMP-LOGGER</br><a href='https://apps.aims.gov.au/metadata/view/8af8acb7-5404-4022-abf8-452044f3b8cc' target='blank'> Metadata Record </a>,-21.297225,152.4445
