SITE_ID,SITE,LONGITUDE,LATITUDE,climFileName
1125,Elusive Reef,152.7647,-21.1036,ElusiveReef_clim-SSTAARS.csv
1166,Lizard Island,145.45267276666667,-14.68621109,LizardIsland_clim-SSTAARS.csv
1995,Linnet Reef,145.34516033333333,-14.781099453333333,LinnetReef_clim-SSTAARS.csv
1996,North Direction Island,145.46289704999998,-14.6701187375,NorthDirectionIsland_clim-SSTAARS.csv
2015,Thetford Reef,146.1971122,-16.7991574825,ThetfordReef_clim-SSTAARS.csv
2256,Chinaman Reef,152.66365443333333,-22.001186666666666,ChinamanReef_clim-SSTAARS.csv
2257,Snake Reef,152.1698701,-22.022954443333333,SnakeReef_clim-SSTAARS.csv
2295,Cherepo,142.27991,-10.68933,Cherepo_clim-SSTAARS.csv
2560,19-131 Reef,149.379455,-19.76484334,19131Reef_clim-SSTAARS.csv
2561,19-138 Reef,149.4269522,-19.8053822,19138Reef_clim-SSTAARS.csv
2562,19-159 Reef,149.91490664999998,-19.664497495,19159Reef_clim-SSTAARS.csv
2563,Hyde Reef,150.081595,-19.742240000000002,HydeReef_clim-SSTAARS.csv
2564,20-104 Reef,149.69325,-20.02861001,20104Reef_clim-SSTAARS.csv
2565,Langford Island,148.880655,-20.085053343333332,LangfordIsland_clim-SSTAARS.csv
2566,Rebe Reef,150.155555,-19.793445,RebeReef_clim-SSTAARS.csv
2567,Border Island,149.03483,-20.17643,BorderIsland_clim-SSTAARS.csv
2681,Small Lagoon Reef,152.52498,-21.867350000000002,SmallLagoonReef_clim-SSTAARS.csv
2682,21-245 Reef,152.4445,-21.297224999999997,21245Reef_clim-SSTAARS.csv
2683,21-278 Reef,152.5502,-21.10853,21278Reef_clim-SSTAARS.csv
2684,21-296 Reef,152.56557,-21.32832,21296Reef_clim-SSTAARS.csv
2685,21-062 Reef,150.853575,-21.027265,21062Reef_clim-SSTAARS.csv
2686,21-139 Reef,151.4654,-21.454965,21139Reef_clim-SSTAARS.csv
2687,21-187 Reef,151.63988999999998,-21.406309999999998,21187Reef_clim-SSTAARS.csv
2688,Mackay Reef,145.65257915,-16.041170835,MackayReef_clim-SSTAARS.csv
2689,St Crispin Reef,145.84472443333334,-16.072380835,StCrispinReef_clim-SSTAARS.csv
2690,Opal Reef,145.9045074,-16.20367073,OpalReef_clim-SSTAARS.csv
2691,Michaelmas Reef,146.04769950000002,-16.550043976666664,MichaelmasReef_clim-SSTAARS.csv
2692,Peart Reef,146.40273773333334,-17.4670525025,PeartReef_clim-SSTAARS.csv
2693,Feather Reef,146.3896004,-17.5184804025,FeatherReef_clim-SSTAARS.csv
2700,Horseshoe Reef,152.604505,-22.019583333333333,HorseshoeReef_clim-SSTAARS.csv
2701,Hedley Reef,146.4765922,-17.224032213333334,HedleyReef_clim-SSTAARS.csv
2702,McCulloch Reef,146.46480830000002,-17.283718305,McCullochReef_clim-SSTAARS.csv
2703,Farquharson Reef,146.53195415,-17.79035444666667,FarquharsonReef_clim-SSTAARS.csv
2704,Taylor Reef,146.57074943333333,-17.81162,TaylorReef_clim-SSTAARS.csv
2705,Roxburgh Reef,147.059303,-18.428327,RoxburghReef_clim-SSTAARS.csv
2706,Fore And Aft Reef,147.05423,-18.47583,ForeAndAftReef_clim-SSTAARS.csv
2707,Helix Reef,146.78715663333332,-18.067058323333335,HelixReef_clim-SSTAARS.csv
2708,Grub Reef,147.43298,-18.62144,GrubReef_clim-SSTAARS.csv
2709,Knife Reef,147.5765547,-18.57139455,KnifeReef_clim-SSTAARS.csv
2710,Centipede Reef,147.55398,-18.732358165,CentipedeReef_clim-SSTAARS.csv
2711,Tern Reef,150.0276581666665,-20.900666666666652,TernReef_clim-SSTAARS.csv
2712,Pompey Reef,150.54699349999999,-20.956855,PompeyReef_clim-SSTAARS.csv
2713,Penrith Reef,149.88752165,-21.003159155,PenrithReef_clim-SSTAARS.csv
2714,21-591 Reef,150.380733,-21.02662,21591Reef_clim-SSTAARS.csv
2715,21-550 Reef,152.311845,-21.95411,21550Reef_clim-SSTAARS.csv
2760,Gannet Cay Reef,152.47417,-21.97837,GannetCayReef_clim-SSTAARS.csv
2842,Martin,145.29778665,-14.604239960000001,Martin_clim-SSTAARS.csv
2844,No Name,145.6453333,-14.62786666,NoName_clim-SSTAARS.csv
3020,Bedarra Island,146.148058,-18.009532999999998,BedarraIsland_clim-SSTAARS.csv
3123,Hastings Reef,146.02197233333334,-16.50130574,HastingsReef_clim-SSTAARS.csv
3140,Repulse,148.8625,-20.57793,Repulse_clim-SSTAARS.csv
3340,Holbourne Island East,148.3645335,-19.7335085,HolbourneIslandEast_clim-SSTAARS.csv
3341,Camp Island East,147.905167,-19.8508,CampIslandEast_clim-SSTAARS.csv
3460,Lagoon Reef,143.73994,-12.392444999999999,LagoonReef_clim-SSTAARS.csv
3480,Curd Reef,143.511235,-12.584975,CurdReef_clim-SSTAARS.csv
3500,Moore Reef-Coral Sea,149.15158,-15.88657,MooreReefCoralSea_clim-SSTAARS.csv
3702,Agincourt Reef Number 1,145.86699135,-16.039080130000002,AgincourtReefNumber1_clim-SSTAARS.csv
