lng,lat,NAME,
153.050027220877,-26.6799877738533,Sunshine Coast
148.583478148594,-20.416235739323,Proserpine
152.94998164796,-27.0829605928654,Caboolture
146.166623086735,-18.6495735485608,Ingham
152.840944375824,-25.2887031872593,Hervey Bay
150.756730508629,-23.1329174613392,Yeppoon
147.399467731923,-19.5702408662728,Ayr
145.458721849611,-16.4845881221791,Port Douglas
152.350896768401,-24.8790641084815,Bundaberg
151.24672643962,-23.8533386039202,Gladstone
148.208668985181,-20.0013256644517,Bowen
146.03867224038,-17.5313472301969,Innisfail
149.15000687581,-21.1438915824249,Mackay
145.763330946074,-16.8878398586055,Cairns
146.769997110175,-19.2499503389278,Townsville
